H,S,V,R,G,B,bias,label
82.0,151.0,147.0,33.0,118.0,153.5,1.0,1.0
76.0,142.0,129.0,37.0,120.0,143.0,1.0,1.0
68.0,140.0,119.0,39.0,131.0,140.0,1.0,1.0
69.0,143.0,122.0,38.0,132.0,143.0,1.0,1.0
66.0,147.0,121.0,39.0,140.0,147.0,1.0,1.0
66.0,138.0,119.0,38.0,133.0,138.0,1.0,1.0
65.0,142.0,117.5,39.0,138.0,142.0,1.0,1.0
77.0,154.0,139.0,36.0,127.0,154.0,1.0,1.0
49.0,115.0,97.0,39.0,145.0,115.0,1.0,1.0
56.0,122.0,105.0,38.0,136.0,122.0,1.0,1.0
55.0,120.0,104.0,38.0,138.0,120.0,1.0,1.0
63.0,123.0,116.0,34.0,125.0,123.0,1.0,1.0
55.0,121.0,108.0,36.0,138.0,121.0,1.0,1.0
66.0,134.0,123.0,35.0,129.0,134.0,1.0,1.0
71.0,127.5,127.0,30.0,113.0,129.0,1.0,1.0
59.0,126.0,115.0,35.0,136.0,126.0,1.0,1.0
54.0,131.0,107.0,39.0,151.0,131.0,1.0,1.0
59.0,134.0,113.0,38.0,143.0,134.0,1.0,1.0
60.0,134.0,120.0,37.0,141.0,134.0,1.0,1.0
50.0,135.0,113.0,38.0,159.0,135.0,1.0,1.0
63.0,140.0,121.0,38.0,141.0,141.0,1.0,1.0
61.0,149.0,128.0,37.0,151.0,149.0,1.0,1.0
61.0,143.0,127.0,36.0,146.0,143.0,1.0,1.0
63.0,135.0,123.0,35.0,137.0,136.0,1.0,1.0
58.0,149.0,123.0,38.0,156.0,149.0,1.0,1.0
57.5,136.0,113.0,39.0,147.0,136.0,1.0,1.0
65.0,143.0,127.0,37.0,139.0,143.0,1.0,1.0
57.0,130.0,106.5,40.0,142.0,130.0,1.0,1.0
67.0,141.0,126.0,36.0,135.0,141.0,1.0,1.0
73.0,146.0,134.0,34.0,126.0,147.0,1.0,1.0
60.0,125.0,119.0,33.0,132.0,125.0,1.0,1.0
67.5,139.0,128.0,35.0,131.0,139.0,1.0,1.0
62.0,135.0,121.0,35.0,137.0,136.0,1.0,1.0
63.0,137.0,117.0,38.0,139.0,137.0,1.0,1.0
74.0,146.0,135.0,34.0,128.0,147.0,1.0,1.0
63.0,131.0,120.0,35.0,132.0,132.0,1.0,1.0
54.0,128.0,102.0,40.0,147.0,128.0,1.0,1.0
55.0,123.0,106.0,38.0,141.0,123.0,1.0,1.0
74.0,141.0,131.0,35.0,123.0,142.0,1.0,1.0
58.0,130.0,113.0,37.0,141.0,130.0,1.0,1.0
65.0,136.0,122.0,36.0,133.0,136.0,1.0,1.0
66.0,142.0,128.0,36.0,136.0,142.0,1.0,1.0
